source,record_type,id,company,website,country,address,size_bytes,size_gib,is_published,time_until_publication,posted_at_utc,crawled_at_utc,crawled_at_kst,ransomware_group,discovery_date,estimated_attack_date,details_url,description,files_api_present
dragonforce,leak_post,8f5eda55-f760-495a-a07d-e03fa96f413a,gardiners solicitors,gardinerssolicitors.co.uk,,19-21 North End Road West Kensington London W14 8ST  Tel: 020 7603 7245 Fax: 020 7603 3302  Kensington High Street DX47208,93843238912,87.40,false,5d 22h 36m left,2025-10-17T08:51:45.785171+00:00,2025-10-17T09:53:52.213411+00:00,2025-10-17T18:53:52.213411+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=8f5eda55-f760-495a-a07d-e03fa96f413a,"We are a small firm of solicitors based in West Kensington, close to Olympia, established in 1997 by Paul Gardiner. We specialise in:

- Property
- Shared Ownership
- Employment law

We offer private criminal work.

We are not confined to the London area and can arrange to buy and sell properties throughout the UK. We have considerable experience in respect of shared ownership work.",false
dragonforce,leak_post,078e25d3-95e7-492f-8303-c9628c2a5592,José Guma S.A.,joseguma.com,,"adre Marcos Perdia 579, Colonia Caroya, Córdoba, Argentina +54 9 3525 420659",81006579712,75.44,false,1d 6h 55m left,2025-10-16T17:06:04.814824+00:00,2025-10-17T09:53:52.213458+00:00,2025-10-17T18:53:52.213458+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=078e25d3-95e7-492f-8303-c9628c2a5592,"José Guma S.A.

Occupation: production of household chemicals and hygiene products (soap, cleaning products) + contract manufacturing for third-party brands.

Location: Colonia Caroya, Cordoba Province, Argentina.

Legal address / factory / site: Lot 1, Malabrigo (Lot 1, Barrio Malabrigo, Cordoba) — part of the company's infrastructure.

Structure: one of the heads/President is Jorge Alfredo Gleria.

Membership in sustainable initiatives: for example, they are a member of the RSPO (Organization for Sustainable Palm Oil Production).",false
dragonforce,leak_post,1eb43fe2-e402-4efe-81d7-be5394b66059,The Law Offices of Michael C George,www.lawofficemcg.com,,"3001 Broadway, West Palm Beach, Florida, 33407, United States",475253321728,442.61,false,3d 0h 29m left,2025-10-14T13:26:06.677754+00:00,2025-10-17T09:53:52.213486+00:00,2025-10-17T18:53:52.213486+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=1eb43fe2-e402-4efe-81d7-be5394b66059,"The Law Office of Michael C. George, P.A. specializes in personal injury and criminal law, providing legal representation for clients throughout Florida who have been victims of negligence. Their services include handling cases related to automobile accidents, medical malpractice, workplace injuries, and more. The firm is dedicated to offering personalized attention and expert legal guidance, ensuring clients receive the support they need during challenging times. With a history of successful settlements and a commitment to client advocacy, they strive to achieve the best possible outcomes for their clients.",false
dragonforce,leak_post,49aae3cb-88b4-4610-a673-a32df94352b6,Autorotor,www.autorotorgroup.com,,"Via Dell'industria 4, Vaiano Cremasco, Lombardy, 26010, Italy",133827444736,124.64,false,3d 7h 10m left,2025-10-14T13:15:23.655906+00:00,2025-10-17T09:53:52.213512+00:00,2025-10-17T18:53:52.213512+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=49aae3cb-88b4-4610-a673-a32df94352b6,"Autorotor builds custom machinery for factories and manufacturing plants. They make rotating tables, transport belts, rings, and robotic handling equipment that help companies move and position products quickly and accurately. From small workshops to big industrial facilities, Autorotor creates machines that make production lines run smoother and faster.",false
dragonforce,leak_post,efaf7c86-bf78-47c4-915b-d2436ee81713,Fountains Condominium Operations,www.fcocondo.com,,"4615 Fountains Dr Ste B, Lake Worth, Florida, 33467, United States",487117991936,453.66,false,3d 5h 43m left,2025-10-13T18:23:39.205783+00:00,2025-10-17T09:53:52.213631+00:00,2025-10-17T18:53:52.213631+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=efaf7c86-bf78-47c4-915b-d2436ee81713,"Fountains Condominium Operations Inc. is an in-house management company dedicated to ensuring the beauty, safety, and stability of the area, promoting neighborliness and pride among the residents, and forming a base for representation in matters affecting the community. This web site provides services to residents of Fountains of Palm Beach. If you need more information or have an issue to bring to our attention, please follow the links for our Board Members or other appropriate contacts contained herein.",false
dragonforce,leak_post,16ee1a86-1b1f-441a-8d5c-9a67e84bb5d4,Express Logistics and Distribution Ltd,eld.bg,,"Tsarigradsko Shose Blvd.139 Sofia, Bulgaria",620655099904,578.03,false,2d 11h 41m left,2025-10-11T01:44:59.550447+00:00,2025-10-17T09:53:52.213666+00:00,2025-10-17T18:53:52.213666+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=16ee1a86-1b1f-441a-8d5c-9a67e84bb5d4,"We expect Express Logistics and Distribution Ltd to contact us to prevent the publication of a large volume of private data over many years. Express Logistics and Distribution Ltd. is the most advanced distribution and logistics company in Bulgaria, with the largest direct market coverage, 900 employees and a fleet of 380 vehicles. Express Logistics and Distribution Ltd. is one of the 10 largest companies in Bulgaria. ELD is ranked 5th most dynamic company in Southeast Europe, according to ""SEE TOP 100"" research. We develop long-term partnership with companies which prefer honesty, reliability and security.",false
dragonforce,leak_post,7b8043b5-c540-4f65-b5c2-4ae47ce34962,Downes,downesbrokerage.com.au,,"Unit 2, No. 1 Industry Blvd.   Carrum Downs, Victoria 3201 admin@downesbrokerage.com.au  +61 03 9708 2180",106021789696,98.74,true,,2025-10-10T20:21:10.006868+00:00,2025-10-17T09:53:52.213690+00:00,2025-10-17T18:53:52.213690+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=7b8043b5-c540-4f65-b5c2-4ae47ce34962,"Proudly managing FMCG brands for over 35 years.

With over 94% coverage of the major grocery retailers, Downes services Woolworths, Coles, Independent Supermarkets (including IGA & Foodworks), Bunnings, Big W and Priceline.

​

We have the ability to manage products from development stage, all the way through the submission phase right up to ranging on shelves. With extensive experience in FMCG sales, merchandising and planogram implementation across all retailers Downes is a valuable resource that can be utilised for your brand in the Australian marketplace.

​

In addition to all the major retailers that Downes services, we also have the ability to buy/sell products into each state and territory with our direct to store model for independent retailers.  Where supply via the Metcash DC is not an option Downes can give brands a much greater reach with our team of full time sales reps servicing this channel on a regular call cycle.

​

Downes is a business who truly values honesty, integrity and transparency. We are a passionate, loyal business who deliver on our promises.",true
dragonforce,leak_post,a38c3739-ad34-40ae-b643-9672bb1e04f6,"Cofiex Asesoría de Empresas, S.L",cofiex.es,,Spain es,73278906368,68.25,true,,2025-10-08T08:09:22.501422+00:00,2025-10-17T09:53:52.213714+00:00,2025-10-17T18:53:52.213714+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=a38c3739-ad34-40ae-b643-9672bb1e04f6,"Cofiex Asesoría de Empresas, S.L.
Type: Business consulting and tax advisory firm
Location: Navalmoral de la Mata, Cáceres, Extremadura, Spain
Industry: Accounting, fiscal and labor management services
Main services:
Accounting (Contabilidad): bookkeeping, annual reports, and compliance with Spanish GAAP.
Tax advisory (Fiscal): corporate and personal tax returns, VAT filings, tax optimization.
Labor management (Laboral): payroll, social security filings, employee contracts.
Business consultancy (Empresarial): company formation, administrative and legal support.
Clients: small and medium-sized businesses, freelancers (autónomos), and local corporations.
Typical contact: cofiex@cofiex.es
Legal form: Sociedad Limitada (S.L.) — the Spanish equivalent of a limited liability company.

Current website:
The domain cofiex.es technically exists but hosts a blank WordPress page (“My Blog – Hello world!” as of mid-2025).
Their operations appear to continue offline or through direct contact, not through an active website.",true
dragonforce,leak_post,11feeb2f-afc5-407c-80b7-ad90a4a8d1a1,Grupo Serex,gruposerex.com,,Venezuela,118995083264,110.82,true,,2025-10-08T07:56:48.412908+00:00,2025-10-17T09:53:52.213735+00:00,2025-10-17T18:53:52.213735+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=11feeb2f-afc5-407c-80b7-ad90a4a8d1a1,"Segramar — Bulk Handling at Ports

Bulk cargo unloading and loading of raw materials at Maracaibo and Puerto Cabello ports.

Berthing assistance for bulk carriers.

Import, export and commercialization of animal-feed raw materials. 

Transmarine — Shipping Agency

Full ship agency services for bulk carriers in Venezuela.

Operational and logistics support alongside modern procedures focused on safety and environmental compliance.

Office in Puerto Cabello (Carabobo). 

Transcargo — Heavy Transport & Logistics

National bulk transport of commodities (corn, wheat, coal, etc.).

Heavy/oversized cargo movements: equipment, structures, platforms.

National and international logistics solutions; HQ in Zulia state. 

Proalex (Productora de Alimentos Serex) — Poultry & Feed

Poultry processing and commercialization (packed chicken and by-products).

Manufacturing of animal balanced feed (ABA).

Vertically integrated from breeding to processing. 

Alto Prado — Cacao Products

Production and national/international commercialization of Venezuelan cacao.

Product lines: cocoa beans, nibs, liquor (paste), butter, powder.

Emphasis on traceability and sustainability. 

Group overview

The group frames itself as integrated solutions for bulk loading/unloading and raw-material transport, with parallel poultry and cacao businesses. Handy if you enjoy conglomerates that do everything from docking a bulker to selling chicken nuggets.",true
dragonforce,leak_post,6337b4a4-abc2-441b-95c7-83d99d6d3851,Allgäu Stern Hotel,allgaeustern.de,,"Buchfinkenweg 2, Sonthofen, Bavaria, 87527, Germany Phone Number +49 83212790",13672628224,12.73,true,,2025-10-08T07:51:23.653602+00:00,2025-10-17T09:53:52.213762+00:00,2025-10-17T18:53:52.213762+09:00,,,,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/api/guest/blog/post?post_uuid=6337b4a4-abc2-441b-95c7-83d99d6d3851,"AllgäuSternHotel in Sonthofen is a versatile hotel in the Allgäu region, catering to both vacationers and conference attendees. With over 400 rooms and suites, it offers a blend of relaxation and activity, featuring a wellness area, multiple dining options, and a variety of experiences throughout the year. The hotel is well-equipped for events, boasting over 20 modern meeting rooms and a unique event location, the Sonnenkopfhütte. With a focus on comfort, culinary delights, and natural beauty, AllgäuSternHotel is a prime destination for leisure and business travelers alike.",true
